x1,y1,z1
9.33,-10,-7.2
7.5,-10,-4.1
9.25,-8,-3
-9.17,-9.8,-9.6
-3,-6,-4
2.5,-7.6,-4
5.08,-4.1,-1.1
-4.75,-10,-7.5
2.25,-9.1,1.5
4.17,0.3,7.1
-9.75,-1.1,-10
-9.17,-7.3,-9.4
-9.17,-7,-8
8.17,-6.5,4.9
-1,-3,-5.5
7.33,-8.9,-2.4
4.92,-10,0.9
-9.92,-8.1,-9.1
-10,6,-10
7.33,-10,4
6.67,-7.8,-0.2
-0.67,-9.6,-3.4
-7.75,-2.5,-6.9
-10,-9,-10
4.5,-3.1,4.6
6.5,-8.8,-5.6
6.5,-7.1,-4.2
-9.17,-9.7,-10
-9.93,-8.3,-10
5.92,-9.5,-5
-4.58,-0.8,-7.5
-2.25,-2.2,5.7
7.92,-8.8,3.3
0.83,-3.7,-6.5
6.92,-0.5,7.7
5.5,-10,-2.6
5.83,-7.3,-1.3
7,-9,0.9
8,-9,1
-10,-9,-10
-10,2.8,-9.6
-9.42,-10,-6.8
-8.94,-9,-8.4
-10,7,-10
4.92,-8.3,-5.9
4.75,-7.7,4.4
5.25,-8.2,0
-6.25,-3.5,-6.5
9.5,-8.5,1
3.33,-1.2,-0.5
2.3,-1.2,1.6
-0.92,10,9
7,-9,0.5
7,-5.5,3
5.33,-8.8,-3.7
-8.25,0.1,-6.1
-1,6,0
7.33,-8.9,-2.4
7.5,-10,-4.1
4.08,-5.7,-3.1
-9.67,10,9.4
-4.75,-10,-7.5
5,-7.7,-2.3
-7.8,-8.8,-7.1
-5,8,10
-5.5,6.8,4.5
-9.17,-3.3,-8.5
-9.75,-1.1,-10
5.25,-1.1,1.1
-10,-5.5,-10
-10,5,-9.5
-9.17,-9.8,-9.6
-10,-10,-10
-4.58,-0.8,-7.5
9.17,-10,1.70
-9.27,-7.3,-9.4
10,-10,10
-9.42,-10,-6.8
4.5,-3.1,4.6
9,-8,-1
4.17,0.3,7.1
7,-9,0.7
9.33,-10,-7.2
-9.17,-5.2,-9
9.25,-8,-3
-8.9,4.5,-3
-8.5,-5,-8
2.3,-1.2,1.6
3.33,2.6,6.2
0.83,-3.7,-6.5
-4.67,-2.9,-4.3
4.83,-9.2,-0.8
4.5,-10,-0.8
-6,-3.5,-3
-4.83,-3.2,-6.6
8.17,-5,4.9
3.99,-9.8,-8.7
-9.67,-7.6,-10
-9.17,-9.7,-10
-0.67,-9.6,-3.4
10,9.6,10
-10,-9.5,-8.2
-9.92,-8.3,-10
4.25,-9.3,-4.3
-8.75,-0.6,-7.7
-8.58,-1.9,-9.5
-5.5,-3.8,-7.3
-10,-9,-9
-10,-9,-10
5.83,-7.3,-1.3
-2.83,-9.9,-6.2
3.83,-1.7,0.4
-1.75,-9.7,-8.7
2,1,-3.8
-10,0.7,-9.9
-4.83,-8.9,-9
-1.42,5.5,0.8
9.5,-9,0
-4.75,-10,-7.5
7,-4.9,6.9
7.33,-8.9,-2.4
-10,1,-10
9.33,-10,4
10,-10,10
2.6,-5,-9
-3.67,-2,-7.3
2.6,9.8,-4.8
9.5,-9.7,0
-6,8,2
6.58,-4.2,-1.5
-3.17,-9.8,-7
-4.92,1.6,-6.1
-9.75,-1.1,-10
-10,8,-10
4.17,0.3,7.1
-9.17,-9.7,-10
-0.67,-9.6,-3.4
5.5,-10,2.6
-9.67,-6.3,-9.2
1.88,-9.51,-1.7
3.58,-1.3,-1.2
10,-8,5
4.22,-10,0
3.83,-10,-5.1
-7.42,-2,-5.8
-10,5.4,-1.7
-6.92,-4.2,-6.8
-10,6.2,-8.8
4,-4,-8.8
-9.67,-7.6,-10
8,-7.5,4.6
-6.5,7.6,6
-8.17,-3,-8.2
2.3,-1.2,1.6
6.92,-6.2,4.2
-10,1,-9.9
3.5,-9.9,-2.7
2.17,-1.4,-1.6
-4.83,-3.2,-6.6
7.09,-7.4,5.6
1.42,-4.2,-7.3
-9.17,-7.3,-9.4
-9.58,-9.2,-10
0.83,-3.7,-6.5
-6.92,-2.4,-8.3
6.25,6.1,3.6
6.42,-9.5,-4.2
-5.9,10,7
9.5,-10,-1.6
-5,-10,-8
-10,-7,-10
10,5,10
-6,-8,0
-7.75,-5.6,-8.8
-9.17,-7,-8
-8.92,-9.3,-8.2
-10,4,-9.4
-9,0.1,-8.7
4,3.3,0.3
-7.98,-3.8,3.2
-5,8,5.4
-7.67,-3.6,-9.4
-7.25,-4.1,-7.3
-10,-9.7,-10
-9.41,-10,-9.6
-4.08,6.2,7.8
4,3,4
-9.92,-9,-9.75
-9.75,-2.4,-10
7.4,9.1,7.7
-3.58,-5.8,-4
0.42,-5.4,-2.9
10,-10,7.43
-5.75,-5.5,-5.4
10,-10,3
-10,3,-10
-9.67,-7.6,-10
-10,-6.8,-9.6
4.25,-1.3,1.9
0.1,-8.9,-9.8
3.83,-1.8,6.9
-6.92,-0.4,-6
-4.67,-3.2,-5
-10,-7.6,-8.7
3.5,-7.9,-2.3
-6.25,-10,-6
-2.75,-4.9,-5.2
-10,-7.2,-10
6.67,-9,2.6
2.75,6.4,-1.1
-9.67,0.2,-4.3
-7.83,-6.2,-9
0.75,7.2,8.3
8.75,-6,-5.4
-9.17,6.2,-7.4
-10,-4.4,-8
5.08,-8.4,3.4
-8.33,6,0.5
-8.33,-10,-9
-0.5,-8.7,-4
-2.17,-5.9,-5.2
-7.5,-2.8,-7.2
-4,-1.8,-6.1
-6.17,-3.7,-6.2
1.75,-10,-4.4
-5.67,6.1,2.9
-10,4.4,-3.8
-0.42,-9,3.4
-10,4.4,-3.8
2.17,-1.4,-1.6
-5.25,-1.3,-1.7
1.25,-10,-1.6
-5.5,-6.5,4.9
-1.75,3.3,7.7
-1,-9.8,-2.7
-9.5,-7.4,-9.8
2,-0.6,-1.7
2.58,-5.4,-8.8
-0.83,9,10
-7.92,-8.8,-8.8
-6.42,-3.5,-8.5
-6.25,-3.5,-6.5
-4.08,-10,-6.2
-2.83,-8.3,-3.5
-1.83,4.6,7.2
1,-9.7,-5.4
-5.83,5.8,-3.1
-10,-5.5,-10
3.58,2.4,2.6
-2.08,-10,-5.5
-7.5,-7.6,-5.4
4.75,-7.7,4.4
-8.92,-9.3,-8.2
-9.17,-9.8,-9.6
4.08,-5.7,-3.1
-9.33,-8,-8.8
-8.58,-1.9,-9.5
-9.67,-7.6,-10
-9.25,-10,-5.7
0.58,-9.5,-0.1
-9.92,-8.3,-10
-8.92,-10,-10
-6.67,7.8,8.3
4.92,-8.5,0.9
-8.25,-0.5,-6.5
-5.92,-2.1,-7.8
6.75,-5.9,0
-6.25,-5.6,-5.2
-1.92,-0.1,-4.6
1.17,2.4,6.2
-9.83,2.4,-9.8
-9.75,-8.9,-8.4
-4,-7.1,-0.4
10,8.9,9.6
6.25,-10,-1.25
-8.5,-9.1,-9.4
-0.92,1.4,6
6.92,4.5,6.2
-0.17,-9.1,-1.4
10,5.1,10
-4.33,6.8,7.9
-1,7.1,9.4
6.92,5.5,7.1
-10,-9,-8
8.42,-9.8,-1.6
-8.08,-2.6,-8.5
7.75,-7,4.6
7.42,-9.2,-5.9
-8.08,-8.4,-9.2
-0.17,6.3,7
-7.08,-7.2,-8.3
2.83,-9,-4.9
4.17,0.3,7.1
-3.5,8.5,9
6.92,-9.8,-5.5
-9.92,-7.8,-10
7.83,-10,-5.5
6.08,-0.2,-0.3
-9.5,-7.2,-8.8
4.33,2.6,5.9
-0.83,5.9,9
-9.17,-7.1,-8.8
4.42,-1,-3.7
-8.67,-5.2,-7.3
-9.42,-8,-8
-9.17,-7.1,-8.8
-8.58,-4.6,-7.8
-5.92,-2.9,-6.9
-7.83,-7.1,-9.3
9.5,-10,1.2
-9.25,-5,-8.2
-7.92,-9.5,-8.7
-4.33,7.3,8
-4.5,-9.2,-7.1
-3.33,-3.3,-3.8
-10,-4,-9.9
-3.08,-8.8,-2.9
1.17,2.2,0.1
4.92,-8.8,-1.7
7.42,-9.9,-4.1
-8.42,-7.6,-8.1
-10,-5.2,-6
5.5,-3.5,2.5
0.58,4.5,8
5.5,-8.1,1.5
-1.83,10,8.4
-0.58,6.1,7.7
5,-8,-8.6
-6.17,-8.3,-7.7
-8.58,-7.7,-9.2
1.42,-5.2,0.1
0.5,8.8,9.4
4.67,-8.4,-3.4
6.92,-8.8,-1.1
-4.75,-1,-8.2
2.17,-0.6,1.8
6.5,-9.3,3.1
1.17,1.8,3.6
-6.17,-1.1,-7.5
-3.17,-1.6,-3.9
-6.17,-1.1,-7.5
-9.42,-8.7,-7.7
-8.67,-4.8,-7.4
4.83,-3.4,3.2
0.67,-2.8,2.4
-4.33,-8.4,-6.2
3.08,-3.4,-2.6
-9.33,-7.7,-10
3,5.4,5.7
-6.17,-1.1,-7.6
2.17,2,2
